Calcar, Elise van;y;1822-1904;Netherlands;author + critic
Reyneke van Stuwe, Jeanne;y;1874-1951;Netherlands;author + critic
Wit, Augusta de;y;1864-1939;Dutch colonies;author
Kol, Nellie van;y;1851-1930;Netherlands;author for children
Pressensé, Elise de ;n;1826-1901;Switzerland;author for children
Hichtum, Nynke van;y;1860-1939;Netherlands;author for children
Busken Huet, Conrad;y;1826-1886;Netherlands;critic (male)
Zuylen, Belle van;y;1740-1805;Netherlands;author + translator
Sand, George;y;1804-1876;France;author
Bosboom-Toussaint, Geertruida;y;1812-1886;Netherlands;author
Gogh-Kaulbach, Anna van;y;1869-1960;Netherlands;author + translator
Alcott, Louisa;y;1832-1888;United States of America;author for children
Berken, Tine van;y;1870-1899;Netherlands;author for children
Viebig, Clara ;y;1860-1952;Germany;author
Savornin-Lohman, Anna de;y;1868-1930;Netherlands;author
Rees, Catharina Felicia van ;y;1831-1915;Netherlands;author
Potgieter, Everhardus Johannes;y;1808-1875;Netherlands;critic (male)
Leprince de Beaumont, Jeanne-Marie;y;1711-1780;France;author + educator
Meerten-Schilperoort, Barbara van;y;1778-1853;Netherlands;author + educator
Sévigné, Marie de;y;1626-1696;France;author
Maintenon, Françoise de;y;1635-1719;France;author + educator
Busken Huet-van der Tholl, Anne;y;1827-1898;Netherlands;author + translator
Hasebroek, Elisabeth;y;1811-1887;Netherlands;author + translator
Westrheene-van Heijningen, Jacoba van;y;1821-1900;Netherlands;author + critic
Wolff-Bekker, Elisabeth;y;1837-1904;Netherlands;author + educator
Deken, Agatha;y;1741-1804;Netherlands;author + educator
Hertzveld, Estella;y;1837-1881;Netherlands;poet + translator
Pape-Carpentier, Marie;y;1815-1878;France;author + educator
Opzoomer, Ad?le;y;1856-1925;Netherlands;author + translator
Doorman, Christine;n;1858-1941;Netherlands;author for children
Leeuw, Amy de;y;1843-1938;Netherlands;author + journalist
Woude, Johanna van;y;1853-1904;Netherlands;author
Fles, Etha;y ;1857-1948;Netherlands;artist + critic
Lannoy, Juliana de;y;1738-1782;Netherlands;poet
Moens, Petronella;y;1762-1843;Netherlands;poet + author
Vloten, Martha van;y;1856-1943;Netherlands;author for children
